entry,description,correlation,sample_size,notes,category,intuitive
1,"Dexamethasone suppression test scores and response to depression treatment",0.00,2068,"Ribeiro et al. (1993) - essentially uninformative for predicting treatment response","Medical Test",FALSE
2,"Fecal occult blood test screening and reduced death from colorectal cancer",0.01,329642,"Towler et al. (1998) - screening test effectiveness","Medical Test",TRUE
3,"Routine umbilical artery Doppler ultrasound and reduced perinatal deaths in low-risk women",0.01,11375,"Goffinet et al. (1997) - minimal impact on outcomes","Medical Test",FALSE
4,"Routine ultrasound examinations and successful pregnancy outcomes",0.01,16227,"Bucher & Schmidt (1993) - very small effects across multiple outcomes","Medical Test",FALSE
5,"MMPI Ego Strength scores and subsequent psychotherapy outcome",0.02,280,"Meyer & Handler (1997) - limited predictive value","Psychological Test",FALSE
6,"Routine umbilical artery Doppler ultrasound and reduced perinatal deaths in high-risk women",0.03,7474,"Alfirevic & Neilson (1995) - small but consistent effect","Medical Test",TRUE
7,"Denial/repressive coping style and development of breast cancer",0.03,12908,"McKenna et al. (1999) - psychological factors in cancer","Psychological Test",FALSE
8,"Triple marker prenatal screening and identification of Trisomy 18",0.03,40748,"Yankowitz et al. (1998) - rare condition screening","Medical Test",TRUE
9,"Impact of geriatric medical assessment teams on reduced deaths",0.04,10065,"Combined meta-analysis - comprehensive assessment benefits","Medical Test",TRUE
10,"MMPI depression profile scores and subsequent cancer within 20 years",0.05,2018,"Persky et al. (1987) - long-term prediction","Psychological Test",FALSE
11,"Ventilatory lung function test scores and subsequent lung cancer within 25 years",0.06,3956,"Islam & Schottenfeld (1994) - long-term prediction","Medical Test",TRUE
12,"Rorschach Interaction Scale scores and subsequent cancer within 30 years",0.07,1027,"Graves et al. (1986) - controlled for multiple factors","Psychological Test",FALSE
13,"Unique contribution of MMPI high-point code to relevant criteria",0.07,8614,"McGrath & Ingersoll (1999a, 1999b) - incremental validity","Psychological Test",FALSE
14,"MMPI scores and subsequent prison misconduct",0.07,17636,"Gendreau et al. (1997) - predictive validity","Psychological Test",TRUE
15,"Beck Hopelessness Scale scores and subsequent suicide",0.08,2123,"Combined studies - Beck et al. (1990, 1985)","Psychological Test",TRUE
16,"MMPI elevations and criminal defendant incompetency",0.08,1461,"Nicholson & Kugler (1991) - forensic assessment","Psychological Test",TRUE
17,"Extroversion test scores and success in sales",0.08,6004,"Combined meta-analyses - Barrick & Mount (1991), Salgado (1997), Vinchur et al. (1998)","Psychological Test",TRUE
18,"Attention and concentration test scores and residual mild head trauma",0.09,622,"Binder et al. (1997) - neuropsychological assessment","Psychological Test",TRUE
19,"Lack of glandular differentiation on tissue biopsy and survival past 5 years in cervical cancer",0.11,685,"Heatley (1999) - tissue pathology prediction","Medical Test",TRUE
20,"Negative emotionality test scores and subsequent heart disease",0.11,104,"Booth-Kewley & Friedman (1987) - psychological factors in heart disease","Psychological Test",TRUE
21,"Triple marker prenatal screening and identification of Down's syndrome",0.11,194326,"Conde-Agudelo & Kafury-Goeta (1998) - across all ages","Medical Test",TRUE
22,"General cognitive ability and involvement in automobile accidents",0.12,1020,"Arthur et al. (1991) - cognitive factors in safety","Psychological Test",TRUE
23,"Conscientiousness test scores and job proficiency",0.12,21650,"Combined meta-analyses - Barrick & Mount (1991), Mount et al. (1998), Salgado (1998), Vinchur et al. (1998)","Psychological Test",TRUE
24,"Platform posturography and detection of balance deficits due to vestibular impairment",0.13,1477,"Di Fabio (1996) - balance assessment","Medical Test",TRUE
25,"General intelligence and success in military pilot training",0.13,15403,"Martinussen (1996) - cognitive ability in training","Psychological Test",TRUE
26,"Self-report scores of achievement motivation and spontaneous achievement behavior",0.15,104,"Spangler (1992) - motivation-behavior relationship","Psychological Test",TRUE
27,"Graduate Record Exam Verbal or Quantitative scores and subsequent graduate GPA in psychology",0.15,963,"Goldberg & Alliger (1992) - academic prediction","Psychological Test",TRUE
28,"Low serotonin metabolites in cerebrospinal fluid and subsequent suicide attempts",0.16,140,"Lester (1995) - biological markers","Medical Test",TRUE
29,"Personality tests and conceptually meaningful job performance criteria",0.16,11101,"Combined studies - Robertson & Kinder (1993), Tett et al. (1991, 1994)","Psychological Test",TRUE
