"Calculation","Original_Value","Units","Our_Value","Difference","Percent_Difference","Original_Value_Rounded","Our_Value_Rounded","Difference_Rounded","Percent_Difference_Rounded","Verification_Status"
"Critical performance score (r_c)",-0.42,"z-score",-0.4202,-0.000200000000000033,0.0476190476190556,-0.42,-0.42,0,0.05,"✅ Verified"
"Critical predictor score (x_c)",1.15,"z-score",1.1503,0.000300000000000189,0.0260869565217556,1.15,1.15,0,0.03,"✅ Verified"
"Fixed quota utility difference",344774,"$",344823.97,49.9699999999721,0.014493552298019,344774,344823.97,49.97,0.01,"✅ Verified"
"Fixed quota utility difference (corrected)",298538,"$",298538.66,0.659999999974389,0.00022107738377506,298538,298538.66,0.66,0,"✅ Verified"
"Selection ratio (N/n)",0.125,"ratio",0.125,0,0,0.12,0.12,0,0,"✅ Verified"
"Success ratio random (S_0)",0.663,"ratio",0.6628,-0.000200000000000089,-0.0301659125188671,0.66,0.66,0,-0.03,"✅ Verified"
"Utility difference (ΔU)",460320,"$",459565.7,-754.299999999988,-0.163864268335069,460320,459565.7,-754.3,-0.16,"✅ Verified"
"Utility with predictor (U_p)",983955,"$",983200.74,-754.260000000009,-0.0766559446316152,983955,983200.74,-754.26,-0.08,"✅ Verified"
"Utility with random selection (U_0)",523635,"$",523635.04,0.0399999999790452,7.63890877787872e-06,523635,523635.04,0.04,0,"✅ Verified"
"μ_y(r_c) - Average payoff of random successful",28279,"$",28278.66,-0.340000000000146,-0.0120255178750052,28279,28278.66,-0.34,0,"✅ Verified"
"μ_y(x_c,r_c) - Average payoff of successful selectees",29947,"$",29945,-2,-0.0667841183751294,29947,29945,-2,-0.07,"✅ Verified"
"μ_y(x_c) - Average payoff of selectees",28430,"$",28429.52,-0.480000000003202,-0.0168832219493496,28430,28429.52,-0.48,0,"✅ Verified"
