"C_t","U_p","U_0","Delta_U"
5000,1068200.74287667,608635.039664718,459565.703211953
6000,1051200.74287667,591635.039664718,459565.703211953
7000,1034200.74287667,574635.039664718,459565.703211953
8000,1017200.74287667,557635.039664718,459565.703211953
9000,1000200.74287667,540635.039664718,459565.703211953
10000,983200.742876671,523635.039664718,459565.703211953
11000,966200.742876671,506635.039664718,459565.703211953
12000,949200.742876671,489635.039664718,459565.703211953
13000,932200.742876671,472635.039664718,459565.703211953
14000,915200.742876671,455635.039664718,459565.703211953
15000,898200.742876671,438635.039664718,459565.703211953
16000,881200.742876671,421635.039664718,459565.703211953
17000,864200.742876671,404635.039664718,459565.703211953
18000,847200.742876671,387635.039664718,459565.703211953
19000,830200.742876671,370635.039664718,459565.703211953
20000,813200.742876671,353635.039664718,459565.703211953
