"Variable","Reported_Mean","Generated_Mean","Mean_Diff","Reported_SD","Generated_SD","SD_Diff"
"Accountability",4.56,4.56,8.88178419700125e-16,0.35,0.35,5.55111512312578e-17
"Collaboration",4.32,4.32,8.88178419700125e-16,0.38,0.38,5.55111512312578e-17
"Courage",4.57,4.57,1.77635683940025e-15,0.28,0.28,5.55111512312578e-17
"Drive",4.38,4.38,8.88178419700125e-16,0.32,0.32,0
"Humanity",4.2,4.2,8.88178419700125e-16,0.43,0.43,5.55111512312578e-17
"Humility",4.29,4.29,8.88178419700125e-16,0.37,0.37,1.11022302462516e-16
"Integrity",4.56,4.56,2.66453525910038e-15,0.34,0.34,5.55111512312578e-17
"Judgment",4.42,4.42,0,0.32,0.32,5.55111512312578e-17
"Justice",4.31,4.31,8.88178419700125e-16,0.36,0.36,5.55111512312578e-17
"Temperance",4.29,4.29,8.88178419700125e-16,0.43,0.43,5.55111512312578e-17
"Transcendence",4.28,4.28,8.88178419700125e-16,0.3,0.3,5.55111512312578e-17
"Performance",5.4,5.4,8.88178419700125e-16,0.83,0.83,3.33066907387547e-16
